id,text_original
S60,Die verkleidete Königin zieht Schneewittchen den Gürtel an. Und macht den Gürtel fester.
S61,Schneewittchen bekommt keine Luft mehr. Schneewittchen fällt zu Boden.
S62,Die böse Königin denkt: Endlich ist Schneewittchen tot! Jetzt bin ich wieder die Schönste im Land.
S63,Am Abend kommen die Zwerge nach Hause. Die Zwerge finden Schneewittchen. Und denken: Schneewittchen ist tot!
S64,Dann sehen die Zwerge den Gürtel: Der Gürtel ist viel zu eng.
S65,Die Zwerge schneiden den Gürtel auf. Jetzt kann Schneewittchen wieder atmen. Schneewittchen öffnet die Augen. 
S66,Die Zwerge fragen: Was ist passiert? Und Schneewittchen erzählt von der Marktfrau.
S67,Die Zwerge sagen: Das war die böse Königin. Die Königin hat sich bestimmt verkleidet.
S68,Liebes Schneewittchen: Du darfst niemandem die Tür öffnen!
S69,Die böse Königin geht zurück zum Schloss. Und fragt ihren Spiegel: Mein lieber Spiegel an der Wand! Wer ist die Schönste im ganzen Land?
S70,Und der Spiegel antwortet: Frau Königin: Du bist die Schönste im Land.
S71,Aber Schneewittchen wohnt hinter den Bergen. Bei den 7 Zwergen. Und Schneewittchen ist noch viel schöner als du.
S72,Die Königin ist wütend. Jetzt weiß die Königin nämlich: Schneewittchen lebt immer noch. 
S73,Aber Schneewittchen soll sterben. Die Königin will nämlich die Schönste sein.
S74,Deshalb macht die Königin einen neuen Plan: Die Königin nimmt einen Kamm. Die Königin legt den Kamm in einen Topf mit Gift. So wird der Kamm giftig.
S75,Dann verkleidet die Königin sich wieder: Die Königin zieht andere Sachen an. Und die Königin malt ihr Gesicht an.
S76,So geht die Königin in den Wald. Die Königin geht zum Haus von den Zwergen. Die Königin klopft an die Tür. 
S77,Und ruft: Liebes Mädchen! Ich verkaufe schöne Dinge.
S78,Schneewittchen schaut aus dem Fenster. Schneewittchen erkennt die Königin nicht.
S79,Aber Schneewittchen weiß: Die Zwerge sind nicht zu Hause. Ich darf niemandem die Tür öffnen.
S80,Schneewittchen sagt zu der verkleideten Königin: Geh weiter. Ich darf niemanden ins Haus lassen.
S81,Die verkleidete Königin antwortet: Du musst mich nicht ins Haus lassen. Ich verkaufe die Sachen am Fenster.
S82,Die Königin zeigt Schneewittchen einen Kamm. Der Kamm ist giftig. Aber das weiß Schneewittchen nicht.
S83,Schneewittchen findet den Kamm sehr schön. Schneewittchen kauft den Kamm. 
S84,Und die verkleidete Königin kämmt Schneewittchen mit dem giftigen Kamm die Haare.
S85,Das Gift wirkt sofort: Schneewittchen fällt zu Boden.
S86,Die Königin denkt: Jetzt ist Schneewittchen endlich tot!
S87,Am Abend kommen die 7 Zwerge nach Hause. Die Zwerge finden Schneewittchen.
S88,Die Zwerge denken: Die böse Königin war hier. Aber vielleicht können wir Schneewittchen helfen.
S89,Die Zwerge suchen alles ab. Die Zwerge finden den Kamm. Die Zwerge ziehen den Kamm aus den Haaren von Schneewittchen.
S90,Schneewittchen öffnet die Augen. Und Schneewittchen erzählt von der verkleideten Frau.
S91,Die Zwerge sagen: Das war die böse Königin. Du hast die böse Königin wieder nicht erkannt!
S92,Du musst besser aufpassen! Und du darfst niemandem die Tür öffnen!
S93,Die böse Königin geht zurück zum Schloss. Und fragt ihren Spiegel: Mein lieber Spiegel an der Wand! Wer ist die Schönste im ganzen Land? 
S94,Und der Spiegel antwortet: Frau Königin: Du bist die Schönste im Land.
S95,Aber Schneewittchen wohnt hinter den Bergen. Bei den 7 Zwergen. Und Schneewittchen ist noch viel schöner als du.
S96,Jetzt wird die Königin wütend. Und schreit: Schneewittchen muss sterben!
S97,Die Königin nimmt einen Apfel. Der Apfel sieht sehr lecker aus. Aber der Apfel ist giftig. Die Königin hat die eine Hälfte vom Apfel vergiftet.
S98,Die Königin verkleidet sich wieder. Die Königin zieht andere Sachen an. Und die Königin malt ihr Gesicht an.
S99,So geht die Königin in den Wald. Die Königin geht bis zum Haus von den 7 Zwergen. Die Königin klopft an die Tür.
S100,Aber Schneewittchen sagt: Die Zwerge sind nicht zu Hause. Ich darf die Tür nicht öffnen!
S101,Die Königin antwortet: Das ist schade. Ich habe nämlich sehr schöne Äpfel. Ich möchte dir einen Apfel schenken.
S102,Schneewittchen sagt: Ich darf den Apfel nicht nehmen. Die Königin antwortet: Du musst keine Angst haben.
S103,Der Apfel hat 2 Hälften: Eine Hälfte ist rot. Die andere Hälfte ist weiß
S104,Ich schneide den Apfel in der Mitte durch. Du kannst die rote Hälfte essen. Und ich esse die weiße Hälfte.
S105,So weißt du: Der Apfel ist nicht giftig. Ich esse den Apfel nämlich auch.
S106,Die Königin beißt in die weiße Hälfte vom Apfel. Die weiße Hälfte ist nämlich nicht giftig.
S107,Aber Schneewittchen beißt in die rote Hälfte vom Apfel. Und nur die rote Hälfte ist giftig. 
S108,Das Gift wirkt sofort: Schneewittchen fällt zu Boden.
S109,Die Königin lacht laut. Und sagt: Die Zwerge können dir nicht helfen. Jetzt bist du für immer tot.
S110,Die Königin geht zurück zum Schloss. Und fragt ihren Spiegel: Mein lieber Spiegel an der Wand! Wer ist die Schönste im ganzen Land?
S111,Der Spiegel antwortet: Frau Königin: Du bist die Schönste im ganzen Land.
S112,Jetzt ist die Königin die Schönste von allen. Deshalb ist die Königin sehr glücklich.
S113,Am Abend kommen die Zwerge nach Hause. Die Zwerge finden Schneewittchen auf dem Boden. Schneewittchen atmet nicht mehr.
S114,Die Zwerge denken: Die Königin hat Schneewittchen vergiftet! Wir müssen Schneewittchen helfen!
S115,Die Zwerge suchen das Gift. Aber die Zwerge können das Gift nicht finden. Deshalb sind die Zwerge sehr traurig.
S116,Jetzt wissen die Zwerge: Schneewittchen ist tot!
S117,Die Zwerge wollen Schneewittchen beerdigen. Aber die Zwerge denken: Schneewittchen ist so schön.
S118,Wir können Schneewittchen nicht unter die Erde legen. Deshalb bekommt Schneewittchen einen Sarg aus Glas. So können wir Schneewittchen immer sehen.
S119,Die Zwerge legen Schneewittchen in einen Sarg aus Glas. Und bringen den Sarg mit Schneewittchen in den Wald.
S120,Die Zwerge besuchen Schneewittchen jeden Tag.
S121,Die Tage vergehen. Ein Prinz reitet durch den Wald. Der Prinz sieht den Sarg aus Glas.
S122,Und der Prinz sieht Schneewittchen in dem Sarg liegen. Der Prinz verliebt sich sofort in das schöne Schneewittchen.
S123,Deshalb reitet der Prinz zu den Zwergen. Und sagt: Bitte gebt mir Schneewittchen. Ich nehme Schneewittchen mit auf mein Schloss.
S124,Die Zwerge antworten: Wir mögen Schneewittchen so sehr. Wir können dir Schneewittchen nicht geben.
S125,Der Prinz sagt: Bitte gebt mir Schneewittchen. Oder ich werde für immer traurig sein.
S126,Das wollen die Zwerge nicht. Deshalb entscheiden die Zwerge: Der Prinz darf Schneewittchen mitnehmen.
S127,Der Prinz möchte Schneewittchen in sein Schloss bringen. Deshalb ruft der Prinz seine Diener.
